,meter_sale_price,procedure_area,rooms_en,floor_bin,swimming_pool,balcony,elevator,metro,has_parking,area_name_en,instance_date
80870,12932.23,66.19,1 B/R,Below 1st floor,1,1,1,1,1,Al Barsha South Fifth,2023-04-03
308527,20216.28,78.6,1 B/R,31-40,1,1,1,1,1,Al Barsha South Fifth,2023-08-17
44550,7145.29,88.17,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2022-06-13
291133,16604.21,60.58,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-05-26
142310,12317.7,101.48,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-01-27
75937,9988.36,103.12,2 B/R,1-10,0,1,1,1,1,Al Barsha South Fifth,2024-12-17
95905,13662.11,115.25,2 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2023-05-05
223053,15629.19,99.54,2 B/R,21-30,1,1,1,1,1,Al Barsha South Fifth,2025-09-10
45849,20291.53,29.74,Studio,31-40,1,1,1,1,1,Al Barsha South Fifth,2024-10-21
257681,14822.95,53.98,1 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2025-09-02
208706,8297.99,54.23,Studio,21-30,1,1,1,1,1,Al Barsha South Fifth,2024-05-07
159756,17425.59,39.31,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-04-23
154901,12347.55,53.68,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-06-26
75945,16181.03,55.14,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-09-24
206228,15942.34,39.94,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-07-29
276646,11437.73,62.67,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-05-07
85941,4435.8,43.32,Studio,11-20,1,1,1,1,1,Al Barsha South Fifth,2023-11-28
137927,22956.87,32.23,Studio,51-60,1,1,1,1,1,Al Barsha South Fifth,2024-01-31
203753,10431.84,90.33,2 B/R,21-30,1,1,1,1,1,Al Barsha South Fifth,2023-09-25
286407,15872.72,55.14,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-02-21
154839,20471.51,28.78,Studio,11-20,1,1,1,1,1,Al Barsha South Fifth,2024-11-04
93830,13465.21,80.63,1 B/R,Below 1st floor,1,1,1,1,1,Al Barsha South Fifth,2024-03-18
252429,18482.16,30.27,Studio,21-30,1,1,1,1,1,Al Barsha South Fifth,2024-11-14
264773,18822.92,136.38,3 B/R,31-40,1,1,1,1,1,Al Barsha South Fifth,2025-05-12
230667,22129.11,32.22,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2023-09-12
99485,9756.31,115.31,2 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2023-10-05
197714,15764.54,51.41,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-05-26
213429,5005.26,38.67,Studio,Below 1st floor,1,1,1,1,1,Al Barsha South Fifth,2023-03-17
187338,11220.11,81.55,1 B/R,Below 1st floor,1,1,1,1,1,Al Barsha South Fifth,2024-07-03
25960,9325.27,110.51,2 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2022-12-06
194779,9562.58,105.62,2 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-06-03
14695,12608.21,45.05,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-10-31
164518,19933.32,30.55,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-01-27
164537,10895.77,76.41,1 B/R,Below 1st floor,1,1,1,1,1,Al Barsha South Fifth,2023-02-09
164685,13238.01,51.94,Studio,Below 1st floor,1,1,1,1,1,Al Barsha South Fifth,2023-02-07
115960,17211.65,53.46,1 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2024-11-07
100750,10850.4,73.73,1 B/R,1-10,0,1,1,1,1,Al Barsha South Fifth,2024-10-02
233401,16503.79,53.8,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-10-10
159788,14929.55,54.75,1 B/R,21-30,1,1,1,1,1,Al Barsha South Fifth,2024-03-11
135143,14242.7,121.35,2 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-11-25
70915,17890.87,82.46,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-07-28
111307,15302.91,111.09,2 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-05-06
22961,15144.14,67.6,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-08-21
201536,21260.09,32.22,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-02-01
3695,21588.57,42.51,Studio,41-50,1,1,1,1,1,Al Barsha South Fifth,2025-09-01
157950,18878.42,44.95,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-09-09
10923,17400.92,60.56,1 B/R,21-30,1,1,1,1,1,Al Barsha South Fifth,2024-11-29
5976,15058.66,65.16,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-09-23
100746,16095.25,38.51,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2023-10-11
151833,12777.04,64.45,1 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2024-01-15
291134,20869.27,29.91,Studio,11-20,1,1,1,1,1,Al Barsha South Fifth,2025-06-23
257330,10397.99,49.17,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-12-27
150012,18771.33,58.6,1 B/R,21-30,1,1,1,1,1,Al Barsha South Fifth,2025-05-30
300914,15025.15,76.42,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-09-17
21042,14207.17,56.38,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-07-01
130405,14321.36,81.39,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2023-06-07
252451,15540.02,64.35,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-04-30
307694,16681.9,34.58,Studio,21-30,1,1,1,1,1,Al Barsha South Fifth,2024-02-16
85806,15581.17,68.09,1 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2025-06-03
223042,12068.97,81.2,1 B/R,Below 1st floor,1,1,1,1,1,Al Barsha South Fifth,2023-11-13
242744,15431.64,105.94,2 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-07-02
21027,20744.75,30.55,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-06-09
30905,7990.69,103.12,2 B/R,1-10,0,1,1,1,1,Al Barsha South Fifth,2025-04-28
95758,18951.68,58.57,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-04-17
100752,10433.22,122.11,2 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2022-10-18
233046,9024.72,36.54,Studio,11-20,1,0,1,1,1,Al Barsha South Fifth,2022-11-21
211242,21938.55,32.22,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2023-08-22
100690,17646.72,29.75,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-11-25
44569,6883.96,38.35,Studio,Below 1st floor,1,0,1,1,1,Al Barsha South Fifth,2022-10-07
276652,13444.13,81.94,1 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2024-12-30
160232,17127.5,84.79,1 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2024-10-25
211105,16184.33,39.94,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-08-15
174988,13776.18,105.98,2 B/R,Below 1st floor,1,1,1,1,1,Al Barsha South Fifth,2024-10-10
60891,5993.36,123.47,2 B/R,21-30,1,1,1,1,1,Al Barsha South Fifth,2022-07-07
194192,11066.71,43.64,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-01-28
266948,15719.66,95.74,2 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-06-23
93339,15360.15,39.9,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-12-06
9043,12401.89,141.03,2 B/R,Below 1st floor,1,1,1,1,1,Al Barsha South Fifth,2024-05-09
130266,12562.32,35.11,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-11-22
65914,19456.09,30.55,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-01-27
262202,8464.61,42.53,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2023-04-24
69672,4929.72,98.89,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2023-05-18
145021,12741.49,87.42,2 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-11-11
115442,20697.01,28.12,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-06-26
73683,19483.1,40.24,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2023-10-20
174191,12523.94,68.93,1 B/R,1-10,0,1,1,1,1,Al Barsha South Fifth,2025-05-23
213466,15418.97,69.15,1 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2025-02-21
96270,14418.25,117.24,2 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-08-22
152641,22897.92,32.23,Studio,51-60,1,1,1,1,1,Al Barsha South Fifth,2023-09-07
120330,11419.7,65.17,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2022-11-07
68716,21953.46,32.23,Studio,51-60,1,1,1,1,1,Al Barsha South Fifth,2023-10-02
21066,20202.02,44.55,1 B/R,21-30,1,1,1,1,1,Al Barsha South Fifth,2025-05-27
189197,13528.6,36.36,Studio,11-20,1,1,1,1,1,Al Barsha South Fifth,2023-06-15
262079,15489.6,92.32,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-08-26
300889,14621.51,52.45,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-12-30
50877,12994.31,57.96,1 B/R,21-30,0,1,1,1,1,Al Barsha South Fifth,2022-12-29
43668,21512.06,40.21,Studio,Below 1st floor,1,1,1,1,1,Al Barsha South Fifth,2023-10-16
127972,22167.37,42.54,Studio,31-40,1,1,1,1,1,Al Barsha South Fifth,2023-08-16
246334,7822.69,38.35,Studio,Below 1st floor,1,0,1,1,1,Al Barsha South Fifth,2022-11-18
305801,11583.15,68.91,1 B/R,1-10,0,1,1,1,1,Al Barsha South Fifth,2023-03-27
306360,17175.14,55.83,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-03-25
881,10672.97,61.37,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-10-15
210503,16100.7,34.16,Studio,Below 1st floor,1,1,1,1,1,Al Barsha South Fifth,2024-04-03
74728,14136.19,103.52,2 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2025-01-31
225670,15957.34,40.01,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-05-14
174390,13879.69,51.19,Studio,Below 1st floor,1,1,1,1,1,Al Barsha South Fifth,2023-02-06
123903,7053.12,90.74,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-04-29
21070,11302.11,78.96,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2022-06-13
90745,11430.72,65.16,1 B/R,Below 1st floor,1,1,1,1,1,Al Barsha South Fifth,2022-11-30
184687,16114.57,53.46,1 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2024-10-29
250223,20805.37,49.17,Studio,Below 1st floor,1,1,1,1,1,Al Barsha South Fifth,2023-08-14
161070,17416.06,75.61,1 B/R,1-10,1,1,1,0,1,Al Barsha South Fifth,2024-10-15
310588,16406.67,37.18,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-09-02
252491,15375.59,69.15,1 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2024-09-06
115497,15574.11,67.91,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-05-02
32842,14037.19,67.47,1 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2024-02-19
66084,11085.94,43.39,Studio,21-30,1,1,1,1,1,Al Barsha South Fifth,2024-12-27
259072,14545.82,63.29,1 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2025-08-11
243259,15855.18,53.73,1 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2025-08-14
303573,19681.91,40.24,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2023-08-10
208560,15588.51,76.21,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-06-27
267450,15688.04,53.6,1 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2024-10-04
209091,15209.4,55.74,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-11-19
223519,16084.38,70.31,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-11-01
177341,19639.96,44.95,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-06-11
124010,16146.46,78.67,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-08-26
36732,12902.04,108.51,2 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-06-18
61052,11318.66,41.64,Studio,21-30,1,1,1,1,1,Al Barsha South Fifth,2024-12-27
271826,14709.91,84.38,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-05-01
894,8166.97,71.63,1 B/R,21-30,0,1,1,1,1,Al Barsha South Fifth,2024-06-05
228549,19022.53,74.82,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-08-29
179257,15944.75,65.49,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-04-17
159787,14316.0,54.75,1 B/R,21-30,1,1,1,1,1,Al Barsha South Fifth,2024-03-11
22962,14138.92,67.47,1 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2024-12-10
189912,13364.39,122.34,2 B/R,Below 1st floor,1,1,1,1,1,Al Barsha South Fifth,2024-06-27
58681,16867.47,100.13,2 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2023-09-12
223069,14387.61,37.6,Studio,31-40,1,1,1,1,1,Al Barsha South Fifth,2024-11-11
267451,17431.16,53.6,1 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2025-03-06
184217,13432.43,92.87,2 B/R,31-40,1,1,1,1,1,Al Barsha South Fifth,2024-06-24
169341,13154.57,39.53,Studio,11-20,1,1,1,1,1,Al Barsha South Fifth,2024-02-19
16053,13856.3,105.86,2 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-03-14
10920,18502.0,30.53,Studio,21-30,1,1,1,1,1,Al Barsha South Fifth,2025-05-20
70919,9831.24,76.31,1 B/R,Below 1st floor,1,1,1,1,1,Al Barsha South Fifth,2024-05-15
98524,21563.14,32.23,Studio,51-60,1,1,1,1,1,Al Barsha South Fifth,2023-08-24
218719,19879.52,53.65,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-08-14
179237,16401.52,69.94,1 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2025-07-09
71071,9981.48,162.84,2 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2023-09-28
151912,14952.16,63.0,1 B/R,Below 1st floor,1,1,1,1,1,Al Barsha South Fifth,2023-09-18
135139,14385.98,90.18,2 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-07-22
194069,19013.36,58.38,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-05-28
164562,10171.89,91.65,2 B/R,21-30,1,1,1,1,1,Al Barsha South Fifth,2024-11-22
291145,13053.11,57.96,1 B/R,21-30,0,1,1,1,1,Al Barsha South Fifth,2025-05-28
140170,17059.15,65.56,1 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2025-06-13
16065,12562.29,53.36,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-05-15
251114,10691.0,38.35,Studio,Below 1st floor,1,0,1,1,1,Al Barsha South Fifth,2024-06-27
249521,20509.82,34.13,Studio,Below 1st floor,1,1,1,1,1,Al Barsha South Fifth,2023-12-07
236784,16363.19,81.28,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-09-03
174216,5060.73,19.76,Studio,Below 1st floor,1,1,1,1,1,Al Barsha South Fifth,2023-03-31
201544,22649.71,32.23,Studio,51-60,1,1,1,1,1,Al Barsha South Fifth,2023-09-12
189202,15592.51,69.15,1 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2024-10-02
100761,16096.04,65.16,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-05-13
152640,19855.86,40.24,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2023-09-11
30904,13849.95,74.89,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-08-28
105641,10626.91,68.93,1 B/R,1-10,0,1,1,1,1,Al Barsha South Fifth,2025-09-11
103779,14866.32,74.06,1 B/R,Below 1st floor,1,1,1,1,1,Al Barsha South Fifth,2024-01-16
267687,12005.56,79.13,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-05-06
198893,5125.58,58.53,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2022-06-08
266922,15386.6,38.67,Studio,Below 1st floor,1,1,1,1,1,Al Barsha South Fifth,2024-06-10
16603,16273.02,60.83,1 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2025-07-14
198940,13733.87,148.58,2 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2024-10-18
61049,8210.18,36.54,Studio,11-20,1,0,1,1,1,Al Barsha South Fifth,2023-06-01
150001,11484.95,39.53,Studio,11-20,1,1,1,1,1,Al Barsha South Fifth,2025-08-08
189171,9750.23,74.87,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-04-29
108584,15076.29,122.1,2 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2025-04-03
154879,16494.67,30.04,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-05-02
213585,11829.99,54.24,Studio,21-30,1,1,1,1,1,Al Barsha South Fifth,2025-06-23
286399,8612.51,73.73,1 B/R,1-10,0,1,1,1,1,Al Barsha South Fifth,2023-05-17
135127,5005.26,81.64,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2023-04-19
10935,24293.67,47.38,1 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2025-07-28
276665,13635.99,35.85,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2023-05-16
149996,17656.29,76.46,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-01-20
10953,15374.66,61.79,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-06-20
137071,15764.64,35.38,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-11-18
95735,15182.53,40.06,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-07-03
13710,20925.6,42.54,Studio,31-40,1,1,1,1,1,Al Barsha South Fifth,2023-10-24
100878,12906.11,80.36,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2023-05-15
65949,13166.25,136.73,2 B/R,Below 1st floor,1,1,1,1,1,Al Barsha South Fifth,2023-08-11
152979,12913.82,73.1,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-06-20
252601,12596.9,41.28,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-09-16
276610,22378.15,87.11,1 B/R,Below 1st floor,1,1,1,1,1,Al Barsha South Fifth,2024-03-14
1638,7120.35,132.68,2 B/R,Below 1st floor,1,1,1,1,1,Al Barsha South Fifth,2024-03-26
75912,14898.9,56.38,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-11-04
155600,13337.33,133.46,2 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-04-21
30889,12074.46,81.2,1 B/R,Below 1st floor,1,1,1,1,1,Al Barsha South Fifth,2023-03-30
50870,16589.86,60.56,1 B/R,21-30,1,1,1,1,1,Al Barsha South Fifth,2024-07-15
115489,14952.69,57.43,1 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2024-10-17
169354,9624.27,129.88,2 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2023-10-25
6092,7546.4,49.03,Studio,11-20,1,1,1,1,1,Al Barsha South Fifth,2023-06-19
237783,9738.82,90.36,1 B/R,Below 1st floor,1,1,1,1,1,Al Barsha South Fifth,2024-11-08
118149,17667.17,78.96,1 B/R,Below 1st floor,1,1,1,1,1,Al Barsha South Fifth,2023-10-31
147830,17989.88,80.99,1 B/R,21-30,1,1,1,1,1,Al Barsha South Fifth,2024-11-13
70899,17552.06,85.08,2 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2024-07-16
60914,7126.9,71.63,1 B/R,21-30,0,1,1,1,1,Al Barsha South Fifth,2022-11-09
55909,15503.32,62.96,1 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2025-04-30
90731,5005.26,81.86,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2023-04-19
270654,10763.93,80.74,1 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2025-06-25
182352,13282.41,53.68,1 B/R,Below 1st floor,1,1,1,1,1,Al Barsha South Fifth,2024-01-16
130253,14352.65,83.51,1 B/R,21-30,1,1,1,1,1,Al Barsha South Fifth,2025-04-07
147831,17147.66,109.34,2 B/R,21-30,1,1,1,1,1,Al Barsha South Fifth,2025-08-14
225811,17604.16,100.09,2 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2023-09-11
60874,10068.26,87.9,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2022-11-09
176781,15272.41,39.94,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-08-29
212439,16652.0,79.57,1 B/R,21-30,1,1,1,1,1,Al Barsha South Fifth,2025-08-15
159772,14851.1,90.33,2 B/R,21-30,1,1,1,1,1,Al Barsha South Fifth,2024-12-06
223047,9793.63,114.36,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-06-03
216418,15616.15,74.12,1 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2025-06-17
33097,10702.03,171.93,3 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-08-07
125352,17302.41,36.44,Studio,1-10,1,0,1,1,1,Al Barsha South Fifth,2025-01-27
218225,14896.06,82.05,1 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2025-07-29
65972,13562.51,54.1,1 B/R,21-30,1,1,1,1,1,Al Barsha South Fifth,2024-02-19
80898,14626.95,84.38,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-10-22
145030,10132.2,103.63,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2023-10-11
169373,14520.29,84.38,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-09-23
194065,10058.86,69.94,1 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2025-04-16
65920,18805.71,29.42,Studio,11-20,1,1,1,1,1,Al Barsha South Fifth,2024-10-16
118158,18224.52,99.41,2 B/R,21-30,1,1,1,1,1,Al Barsha South Fifth,2023-08-30
274882,19643.93,40.13,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-06-20
184344,10098.64,42.58,Studio,21-30,1,1,1,1,1,Al Barsha South Fifth,2024-06-12
55907,10505.29,90.33,2 B/R,21-30,1,1,1,1,1,Al Barsha South Fifth,2023-10-25
120359,13313.89,36.36,Studio,11-20,1,1,1,1,1,Al Barsha South Fifth,2025-06-23
75915,10330.58,91.96,1 B/R,Below 1st floor,1,1,1,1,1,Al Barsha South Fifth,2022-06-16
108392,20517.28,40.21,Studio,Below 1st floor,1,1,1,1,1,Al Barsha South Fifth,2023-10-18
115451,16317.04,52.42,1 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2025-04-17
274494,17551.8,99.42,2 B/R,21-30,1,1,1,1,1,Al Barsha South Fifth,2025-02-27
149970,17940.74,30.29,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-11-28
145065,14488.64,76.42,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-09-23
94527,16330.04,103.52,2 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2025-02-03
306286,17234.01,53.57,1 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2025-08-13
3524,15806.21,39.94,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-11-15
174248,16179.54,65.49,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-02-06
291323,8542.14,43.9,Studio,11-20,1,1,1,1,1,Al Barsha South Fifth,2024-03-19
271827,15282.54,65.16,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-05-02
110534,13624.84,94.68,2 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2024-09-26
88574,19557.65,40.24,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-05-05
271819,8732.78,103.06,2 B/R,1-10,0,1,1,1,1,Al Barsha South Fifth,2024-04-24
125213,17247.68,62.63,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-07-08
125224,14511.98,77.66,1 B/R,11-20,1,1,1,1,1,Al Barsha South Fifth,2024-11-14
266953,6392.25,103.25,2 B/R,11-20,0,1,1,1,1,Al Barsha South Fifth,2022-03-21
113500,15285.57,117.95,2 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-05-28
198891,13737.0,37.49,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-05-27
227993,19778.69,31.3,Studio,1-10,1,1,1,1,1,Al Barsha South Fifth,2023-11-29
4055,9803.92,119.34,1 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-09-03
242733,8407.85,74.93,1 B/R,21-30,1,1,1,1,1,Al Barsha South Fifth,2024-09-02
174989,10360.57,107.33,2 B/R,1-10,1,1,1,1,1,Al Barsha South Fifth,2025-04-14
